game_id,name,slug,first_release_date_iso,release_year,total_rating,category_decoded,status_decoded,is_high_rated,rating_confidence,playtime_length,genres,themes,platforms,developers,publishers,mp_campaign_coop,mp_splitscreen,mp_online_coop,mp_offline_coop,mp_max_online_players,summary_length,storyline_length,category_is_main_game,category_is_variant_or_special,platform_pc,platform_playstation_4,platform_playstation_5,platform_xbox_one,platform_xbox_series_x_s,platform_nintendo_switch,genre_action,genre_adventure,genre_role_playing_rpg,genre_strategy,genre_shooter,genre_indie,genre_simulator,genre_platform,dev_nintendo,dev_ubisoft,dev_electronic_arts,dev_sony,dev_square_enix,dev_capcom,dev_valve
208276,Hauling Away,hauling-away,2022-07-15,2022,,Main Game,Released,0,Higher Confidence,Very Long,Indie,Not Listed,"Linux, PC (Microsoft Windows), Mac",Not Listed,Not Listed,0,0,0,0,0,159,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
90647,Rock 'N Roll,rock-n-roll--2,2017-08-28,2017,,Main Game,Released,0,Higher Confidence,Very Long,Indie,Action,PC (Microsoft Windows),Not Listed,Not Listed,0,0,0,0,0,295,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
276622,Planet Scanner,planet-scanner,2024-10-22,2024,,Main Game,Released,0,Higher Confidence,Very Long,"Simulator, Indie","Science fiction, Horror",PC (Microsoft Windows),Ham Goblin,Ham Goblin,0,0,0,0,0,242,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
6958,Dante's Inferno,dante-s-inferno,2010-02-04,2010,74.94769041512711,Main Game,Released,0,Higher Confidence,Short,"Hack and slash/Beat 'em up, Adventure","Action, Fantasy, Horror","PlayStation 3, Xbox 360, PlayStation Portable",Visceral Games,Electronic Arts,0,0,1,0,0,519,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80268,Jikkyou Pawafuru Puroyakyu 2013,jikkyou-pawafuru-puroyakyu-2013,2013-10-24,2013,,Main Game,Released,0,Higher Confidence,Very Long,Sport,Not Listed,"PlayStation 3, PlayStation Portable, PlayStation Vita",Not Listed,Konami,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98671,1000 Cooking Recipes from Elle à Table,1000-cooking-recipes-from-elle-a-table,2010-07-02,2010,,Main Game,Released,0,Higher Confidence,Very Long,Simulator,"Non-fiction, Educational",Nintendo DS,AGENDA,Nintendo,0,0,0,0,0,256,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24436,Computer Repair Simulator,computer-repair-simulator,2016-09-01,2016,,Main Game,Alpha,0,Higher Confidence,Very Long,Simulator,Educational,PC (Microsoft Windows),Not Listed,Not Listed,0,0,0,0,0,199,183,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32392,Octoshield VR,octoshield-vr,2016-06-14,2016,50.0,Main Game,Early Access,0,No Rating Evidence,Very Long,"Simulator, Sport, Indie",Action,PC (Microsoft Windows),Not Listed,Not Listed,0,0,0,0,0,282,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
33660,Lolly Joe,lolly-joe,2016-08-05,2016,,Main Game,Released,0,Higher Confidence,Very Long,"Adventure, Indie",Action,"Linux, PC (Microsoft Windows)",Not Listed,Not Listed,0,0,0,0,0,278,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
17109,Dark Shadows - Army of Evil,dark-shadows-army-of-evil,2014-03-11,2014,30.0,Main Game,Released,0,Very Low Confidence,Very Long,"Role-playing (RPG), Indie","Action, Fantasy",PC (Microsoft Windows),Burian Media Enterprises,Burian Media Enterprises,0,0,0,0,0,124,559,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
